dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
officehome,25,40,WiSE-FT,Clipart,Art,0.04,0.04,0.23,0.38
officehome,25,40,WiSE-FT,Clipart,Product,0.14,0.08,0.23,0.29
officehome,25,40,WiSE-FT,Clipart,RealWorld,0.29,0.28,0.13,0.15
officehome,25,40,WiSE-FT,Product,Art,0.11,0.09,0.2,0.19
officehome,25,40,WiSE-FT,Product,Clipart,0.08,0.14,0.16,0.23
officehome,25,40,WiSE-FT,Product,RealWorld,0.09,0.09,0.03,0.02
officehome,25,40,WiSE-FT,RealWorld,Art,0.3,0.12,0.35,0.27
officehome,25,40,WiSE-FT,RealWorld,Clipart,0.32,0.28,0.14,0.14
officehome,25,40,WiSE-FT,RealWorld,Product,0.24,0.19,0.03,0.04
visda,6,6,SO,syn,real,0.23,0.2,0.62,0.5
visda,6,6,DANCE,syn,real,0.06,0.1,0.13,0.17
visda,6,6,OVANet,syn,real,5.19,6.7,0.6,0.52
visda,6,6,UniOT,syn,real,2.27,2.7,0.73,0.19
visda,6,6,ClipCrossModel,syn,real,0.13,0.19,0.17,0.17
visda,6,6,ClipZeroShot,syn,real,0.0,0.0,0.0,0.0
visda,6,6,UB2DA,syn,real,0.0,0.0,0.0,0.0
visda,6,6,debug,syn,real,0.0,0.0,0.01,0.01
visda,6,6,debug0.3,syn,real,0.0,0.01,0.01,0.01
visda,6,6,WiSE-FT,syn,real,0.2,0.23,0.38,0.28
